Name,Company,Priority,Posts in Network,Total Engagement,Value Proposition,Recommended Action
Tony Deane,AppLovin,CRITICAL,0,0,Director BD - UA platform partnerships,Intro request today
Görkem Türk,Laton Ventures,HIGH,4,2480,"$50M Fund I, #2 globally mobile gaming",Investor meeting Q1 2026
Simon Hade,Duolingo,HIGH,4,3843,"Ex-Supercell, product expertise",Advisory board candidate
Olivier Le Bas,Everyday,HIGH,3,4071,"AI-first gaming, ex-Homa founder",Partnership exploration
Eitan Reisel,vgames,HIGH,2,1944,Gaming VC Fund III,Investor meeting Q1 2026
Alex Gray,Unity,HIGH,0,0,Senior Client Partner - platform tech,Unity integration
Shay Ze'ev Yosifon,Unknown,HIGH,2,2600,VP Performance Marketing,Head of Growth candidate
John Wright,Turborilla,HIGH,2,3964,"CEO, high executive mobility",Advisory board
Christoph Ebenschwaiger,Red Bull,HIGH,0,0,Global Head Gaming/Esports,Brand partnerships
Eoin O'Doherty,Homa,MEDIUM,0,0,Game Design Director,Publishing strategy
Steven Collins,Frontline Ventures,MEDIUM,1,59,Irish/European VC,Irish market entry
Brian O'Beirne,Reality Network,MEDIUM,0,0,"Facilitated intro, Web3 gaming",Blockchain strategy
Paul Breslin,Player 12,MEDIUM,0,0,"Founder, competitive gaming",Feature partnership
Rich Barnwell,Entity,MEDIUM,0,0,"Founder CEO, Irish ecosystem",Local partnership
